epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,209.512,1.92668,2.44739,1.00089,0.51398,0.07602,0.12845,0.05437,2.57815,2.89906,0.97025,1.98016e-05,1.98016e-05,1.98016e-05
42,213.347,1.77285,2.23768,0.94709,0.51398,0.07602,0.12845,0.05437,2.57815,2.89906,0.97025,1.83646e-05,1.83646e-05,1.83646e-05
43,217.785,1.87472,2.30692,0.93198,0.52523,0.07028,0.1475,0.06042,2.52646,2.83991,0.9635,1.68333e-05,1.68333e-05,1.68333e-05
44,222.205,1.87251,2.31678,0.93852,0.52523,0.07028,0.1475,0.06042,2.52646,2.83991,0.9635,1.52077e-05,1.52077e-05,1.52077e-05
45,227.991,1.88303,2.48314,0.90683,0.54948,0.07685,0.14962,0.06074,2.4721,2.79,0.95709,1.34879e-05,1.34879e-05,1.34879e-05
46,230.668,1.9339,2.31408,0.99388,0.54948,0.07685,0.14962,0.06074,2.4721,2.79,0.95709,1.16739e-05,1.16739e-05,1.16739e-05
47,234.783,1.96566,2.42225,0.98427,0.54022,0.08403,0.15155,0.06214,2.45932,2.75805,0.95288,9.76562e-06,9.76562e-06,9.76562e-06
48,238.228,1.8873,2.29903,0.95407,0.54022,0.08403,0.15155,0.06214,2.45932,2.75805,0.95288,7.76308e-06,7.76308e-06,7.76308e-06
49,242.702,1.80458,2.15628,0.95357,0.53086,0.08525,0.15404,0.06565,2.44049,2.73682,0.94987,5.6663e-06,5.6663e-06,5.6663e-06
50,245.984,1.8372,2.29164,0.97527,0.53086,0.08525,0.15404,0.06565,2.44049,2.73682,0.94987,3.47528e-06,3.47528e-06,3.47528e-06
